pathwayid,name,pwtype,category,url,source,srcid,externalid,extid,taxid,taxname,core,cids,geneids,protacxns,dois,ecs,annotation,annotscore
40084,ACE Inhibitor Pathway,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP554,WikiPathways,5,WP554,WP554,9606,Homo sapiens (human),1,"271,6166,114805,172198,439201,3081372,9874518,24758425,71745056","183,185,186,623,624,1215,1511,1585,1636,3827,4142,4306,4846,5972,7040,10159,59272",NULL,10.1016/j.ejphar.2008.02.092,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, Guide to PHARMACOLOGY, UniProt]",220000
1360347,SARS-CoV-2 and COVID-19 Pathway,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4846,WikiPathways,5,WP4846,WP4846,9606,Homo sapiens (human),1,NULL,"43740568,43740569,43740570,43740571,43740572,43740573,43740574,43740575,43740576,43740577,43740578","P0DTC1,P0DTC2,P0DTC3,P0DTC4,P0DTC5,P0DTC9,P0DTD1",NULL,"2.1.1.-,2.7.7.48,3.1.-.-,3.1.13.-,3.4.19.12,3.4.22.-,3.4.22.69,3.6.4.12,3.6.4.13","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, PDB, Protein Data Bank, UniProt]",220000
1360349,Hijack of Ubiquitination by SARS-CoV-2,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4860,WikiPathways,5,WP4860,WP4860,9606,Homo sapiens (human),1,NULL,"865,6921,6923,8453,8883,9039,9978,79699",NULL,10.1017/s1462399411002031,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",220000
1360350,Integrative stress response in SARS-CoV-2 infection,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4861,WikiPathways,5,WP4861,WP4861,9606,Homo sapiens (human),1,NULL,"468,1649,1965,5610,9451,23645",NULL,10.1146/annurev-micro-020518-115759,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",220000
1360354,Type I Interferon Induction and Signaling During SARS-CoV-2 Infection,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4868,WikiPathways,5,WP4868,WP4868,9606,Homo sapiens (human),1,NULL,"1147,1432,2353,3454,3455,3551,3661,3716,3725,4615,4790,4792,4938,4939,4940,5599,5610,6772,6773,6885,7187,7189,7297,8517,9641,10379,29110,51284,285852",NULL,10.1073/pnas.0805240105,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",220000
1360356,Activation of NLRP3 Inflammasome by SARS-CoV-2,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4876,WikiPathways,5,WP4876,WP4876,9606,Homo sapiens (human),1,NULL,"834,3553,4790,5970,7187,29108,114548",NULL,10.1096/fj.201802418r,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",220000
1360359,SARS-CoV-2 and Angiotensin-converting enzyme 2 (ACE2) receptor : Molecular mechanisms and potential therapeutic target,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4883,WikiPathways,5,WP4883,WP4883,9606,Homo sapiens (human),1,NULL,"183,185,4142,5972,7113,59272",NULL,NULL,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, Guide to PHARMACOLOGY, UniProt]",220000
1360360,Pathogenesis of SARS-CoV-2 Mediated by nsp9/nsp10 Complex,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4884,WikiPathways,5,WP4884,WP4884,9606,Homo sapiens (human),1,NULL,"914,916,917,919,920,925,926,1401,2534,3122,3123,3126,3127,3497,3500,3501,3503,3538,3543,3569,3576,3932,7535,10394,28639,28755,55922,64386,5725029",NULL,NULL,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, UniProt]",220000
1360361,COVID-19 AOP,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4891,WikiPathways,5,WP4891,WP4891,9606,Homo sapiens (human),1,NULL,"183,3558,3559,3569,3576,3627,6347,6348,7113,59272",NULL,10.1093/toxsci/kfx252,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, Guide to PHARMACOLOGY, UniProt]",220000
1360346,Downregulation of ACE2 expression by SARS-CoV infection and SARS-CoV Spike protein.,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4799,WikiPathways,5,WP4799,WP4799,9606,Homo sapiens (human),1,45266664,"185,186,59272","A0A0A0MSN4,P30556,P50052,Q9BYF1",10.1038/nm1267,"3.4.17.-,3.4.17.23","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, DrugBank, Guide to PHARMACOLOGY, PDB, Protein Data Bank, UniProt]",40000
