pathwayname,genelist,genecount
ACE Inhibitor Pathway,"['AGT', 'AGTR1', 'AGTR2', 'BDKRB1', 'BDKRB2', 'CMA1', 'CTSG', 'CYP11B2', 'ACE', 'KNG1', 'MAS1', 'NR3C2', 'NOS3', 'REN', 'TGFB1', 'ATP6AP2', 'ACE2']",17
SARS-CoV-2 and COVID-19 Pathway,"['S', 'ORF3a', 'E', 'M', 'ORF6', 'ORF7a', 'ORF7b', 'N', 'ORF10', 'ORF8', 'ORF1ab']",11
Hijack of Ubiquitination by SARS-CoV-2,"['CBFB', 'ELOC', 'ELOB', 'CUL2', 'NAE1', 'UBA3', 'RBX1', 'ZYG11B']",8
Integrative stress response in SARS-CoV-2 infection,"['ATF4', 'DDIT3', 'EIF2S1', 'EIF2AK2', 'EIF2AK3', 'PPP1R15A']",6
Type I Interferon Induction and Signaling During SARS-CoV-2 Infection,"['CHUK', 'MAPK14', 'FOS', 'IFNAR1', 'IFNAR2', 'IKBKB', 'IRF3', 'JAK1', 'JUN', 'MYD88', 'NFKB1', 'NFKBIA', 'OAS1', 'OAS2', 'OAS3', 'MAPK8', 'EIF2AK2', 'STAT1', 'STAT2', 'MAP3K7', 'TRAF3', 'TRAF6', 'TYK2', 'IKBKG', 'IKBKE', 'IRF9', 'TBK1', 'TLR7', 'TREML4']",29
Activation of NLRP3 Inflammasome by SARS-CoV-2,"['CASP1', 'IL1B', 'NFKB1', 'RELA', 'TRAF3', 'PYCARD', 'NLRP3']",7
SARS-CoV-2 and Angiotensin-converting enzyme 2 (ACE2) receptor : Molecular mechanisms and potential therapeutic target,"['AGT', 'AGTR1', 'MAS1', 'REN', 'TMPRSS2', 'ACE2']",6
Pathogenesis of SARS-CoV-2 Mediated by nsp9/nsp10 Complex,"['CD2', 'CD3E', 'CD3G', 'CD247', 'CD4', 'CD8A', 'CD8B', 'CRP', 'FYN', 'HLA-DRA', 'HLA-DRB1', 'HLA-DRB4', 'HLA-DRB5', 'IGHE', 'IGHG1', 'IGHG2', 'IGHG4', 'IGLC2', 'IGLL1', 'IL6', 'CXCL8', 'LCK', 'ZAP70', 'PRG3', 'TRBC1', 'TRAC', 'NKRF', 'MMP25', 'MMP5']",29
COVID-19 AOP,"['AGT', 'IL2', 'IL2RA', 'IL6', 'CXCL8', 'CXCL10', 'CCL2', 'CCL3', 'TMPRSS2', 'ACE2']",10
Downregulation of ACE2 expression by SARS-CoV infection and SARS-CoV Spike protein.,"['AGTR1', 'AGTR2', 'ACE2']",3
Autophagy during CoV infection,"['MTOR', 'PIK3C3', 'ULK1', 'BECN1', 'ATG12', 'ULK2', 'ATG13', 'RB1CC1', 'ATG7', 'PIK3R4', 'ZFYVE1', 'WIPI1', 'ATG10', 'MAP1LC3A']",14
Host-pathogen interaction of human corona viruses - autophagy,"['MTOR', 'PIK3C3', 'ULK1', 'BECN1', 'ATG12', 'ULK2', 'ATG13', 'RB1CC1', 'ATG7', 'PIK3R4', 'ZFYVE1', 'WIPI1', 'ATG3', 'ATG10', 'MAP1LC3A', 'ATG4A']",16
Host-pathogen interaction of human corona viruses - apoptosis,"['AKT1', 'APAF1', 'FASLG', 'BAD', 'BAX', 'BCL2', 'BCL2L1', 'BID', 'CASP3', 'CASP7', 'CASP8', 'CASP9', 'MAPK14', 'MCL1', 'MAPK11', 'MAPK13', 'MAPK12', 'TNF', 'FADD', 'BCL2L11', 'BBC3']",21
Host-pathogen interaction of human corona viruses - ER stress,"['ATF4', 'CEBPA', 'CEBPB', 'CEBPD', 'CEBPE', 'CEBPG', 'DDIT3', 'ERN1', 'PPP1R12A', 'PPP1R12B', 'PPP1CA', 'PPP1CB', 'PPP1CC', 'PPP1R1A', 'PPP1R2', 'PPP1R3A', 'PPP1R3C', 'PPP1R3D', 'PPP1R7', 'PPP1R8', 'PPP1R10', 'MAPK8', 'MAPK9', 'MAPK10', 'EIF2AK2', 'PPP1R11', 'XBP1', 'MBTPS1', 'EIF2AK3', 'CEBPZ', 'ATF6', 'PPP1R13B', 'PPP1R15A', 'PPP1R16B', 'PPP1R14B', 'MBTPS2', 'PPP1R12C', 'PPP1R14D', 'PPP1R9A', 'PPP1R3B', 'PPP1R14C', 'EIF2A', 'PPP1R1B', 'PPP1R9B', 'PPP1R15B', 'PPP1R16A', 'PPP1R3F', 'PPP1R3E', 'PPP1R14A', 'PPP1R1C', 'PPP1R3G', 'E']",52
Host-pathogen interaction of human corona viruses - MAPK signaling,"['BCL2', 'BST2', 'ATF2', 'MAPK14', 'DDIT3', 'EIF4E', 'FOS', 'IFI27', 'JUNB', 'MAP3K4', 'MAPK1', 'MAPK3', 'MAPK8', 'MAPK10', 'MAP2K6', 'MAP2K7', 'RAF1', 'RPS6KA1', 'RPS6KA2', 'RPS6KA3', 'MAPK12', 'MAP2K4']",22
Host-pathogen interaction of human corona viruses - Interferon induction,"['CHUK', 'MAPK14', 'FOS', 'IFNAR1', 'IFNAR2', 'IKBKB', 'IRF3', 'JAK1', 'JUN', 'MYD88', 'NFKB1', 'NFKBIA', 'OAS1', 'OAS2', 'OAS3', 'MAPK8', 'EIF2AK2', 'STAT1', 'STAT2', 'MAP3K7', 'TRAF3', 'TRAF6', 'TYK2', 'IKBKG', 'RIPK1', 'IKBKE', 'IRF9', 'DDX58', 'TBK1', 'TLR7', 'MAVS', 'IFIH1', 'TICAM1']",33
Metabolism of Angiotensinogen to Angiotensins,"['AGT', 'ANPEP', 'CMA1', 'CPA3', 'CPB1', 'CPB2', 'CTSD', 'CTSG', 'CTSZ', 'ACE', 'ENPEP', 'GZMH', 'MME', 'REN', 'ATP6AP2', 'ACE2', 'AOPEP']",17
LDLRAD4 and what we know about it,"['LDLRAD4', 'SMAD2', 'NEDD4', 'TGFBR1', 'TGFBR2', 'ATG16L1', 'PMEPA1']",7
SARS coronavirus and innate immunity,"['IFNAR1', 'IFNAR2', 'IFNB1', 'IRF3', 'STAT1', 'STAT2', 'TRAF3', 'TYK2', 'IRF9', 'DDX58', 'MAVS', 'ACE2', 'IFIH1', 'TICAM1']",14
citrulline-nitric oxide cycle,"['ASL', 'ASS1', 'NOS1', 'NOS2', 'NOS3']",5
